==========================================
SOFTWARE PACKAGE INVENTORY REPORT
==========================================
TimeStamp           : 08-07-2026 19:25:33
Operating System    : Ubuntu 24.04.4 LTS
Package Manager     : apt
Installed Packages  : 2077
Available Updates   : 8

==========================================
INSTALLED PACKAGE LIST
gir1.2-nma4-1.0:amd64 1.10.6-3build2 Installed
gir1.2-notify-0.7:amd64 0.8.3-1build2 Installed
gir1.2-packagekitglib-1.0 1.2.8-2ubuntu1.5 Installed
gir1.2-pango-1.0:amd64 1.52.1+ds-1build1 Installed
gir1.2-peas-1.0:amd64 1.36.0-3build4 Installed
gir1.2-polkit-1.0 124-2ubuntu1.24.04.3 Installed
gir1.2-rb-3.0:amd64 3.4.7-2ubuntu6 Installed
gir1.2-rsvg-2.0:amd64 2.58.0+dfsg-1build1 Installed
gir1.2-secret-1:amd64 0.21.4-1build3 Installed
gir1.2-snapd-2:amd64 1.64-0ubuntu5 Installed
gir1.2-soup-3.0:amd64 3.4.4-5ubuntu0.7 Installed
gir1.2-totem-1.0:amd64 43.0-2ubuntu4 Installed
gir1.2-totemplparser-1.0:amd64 3.26.6-1build5 Installed
gir1.2-udisks-2.0:amd64 2.10.1-6ubuntu1.3 Installed
gir1.2-unity-7.0:amd64 7.1.4+19.04.20190319-6build4 Installed
gir1.2-upowerglib-1.0:amd64 1.90.3-1 Installed
gir1.2-vte-2.91:amd64 0.76.0-1ubuntu0.1 Installed
gir1.2-webkit-6.0:amd64 2.52.3-0ubuntu0.24.04.1 Installed
gir1.2-webkit2-4.1:amd64 2.52.3-0ubuntu0.24.04.1 Installed
gir1.2-wnck-3.0:amd64 43.0-3build4 Installed
git 1:2.43.0-1ubuntu7.3 Installed
git-man 1:2.43.0-1ubuntu7.3 Installed
gjs 1.80.2-1build2 Installed
gkbd-capplet 3.28.1-1build3 Installed
glib-networking:amd64 2.80.0-1build1 Installed
glib-networking-common 2.80.0-1build1 Installed
glib-networking-services 2.80.0-1build1 Installed
gnome-accessibility-themes 3.28-2ubuntu5 Installed
gnome-bluetooth-3-common 46.0-1ubuntu1 Installed
gnome-bluetooth-sendto 46.0-1ubuntu1 Installed
gnome-calculator 1:46.3-0ubuntu0.1 Installed
gnome-calendar 46.1-0ubuntu2 Installed
gnome-characters 46.0-1build1 Installed
gnome-clocks 46.0-1build1 Installed
gnome-control-center 1:46.7-0ubuntu0.24.04.4 Installed
gnome-control-center-data 1:46.7-0ubuntu0.24.04.4 Installed
gnome-control-center-faces 1:46.7-0ubuntu0.24.04.4 Installed
gnome-desktop3-data 44.0-5build2 Installed
gnome-disk-utility 46.0-1ubuntu3 Installed
gnome-font-viewer 46.0-1build1 Installed
gnome-initial-setup 46.3-1ubuntu3~24.04.2 Installed
gnome-keyring 46.1-2ubuntu0.2 Installed
gnome-keyring-pkcs11:amd64 46.1-2ubuntu0.2 Installed
gnome-logs 45.0-1build1 Installed
gnome-menus 3.36.0-1.1ubuntu3 Installed
gnome-online-accounts 3.50.4-0ubuntu2 Installed
gnome-power-manager 43.0-2build2 Installed
gnome-remote-desktop 46.3-0ubuntu1.2 Installed
gnome-session-bin 46.0-1ubuntu4 Installed
gnome-session-canberra 0.30-10ubuntu10 Installed
gnome-session-common 46.0-1ubuntu4 Installed
gnome-settings-daemon 46.0-1ubuntu1.24.04.1 Installed
gnome-settings-daemon-common 46.0-1ubuntu1.24.04.1 Installed
gnome-shell 46.0-0ubuntu6~24.04.14 Installed
gnome-shell-common 46.0-0ubuntu6~24.04.14 Installed
gnome-shell-extension-appindicator 58-1ubuntu24.04.1 Installed
gnome-shell-extension-desktop-icons-ng 46+really47.0.9-1ubuntu5 Installed
gnome-shell-extension-ubuntu-dock 90ubuntu3 Installed
gnome-shell-extension-ubuntu-tiling-assistant 46-1ubuntu1.1 Installed
gnome-snapshot 46.2-1ubuntu2 Installed
gnome-startup-applications 46.0-1ubuntu4 Installed
gnome-system-monitor 46.0-1build1 Installed
gnome-terminal 3.52.0-1ubuntu2 Installed
gnome-terminal-data 3.52.0-1ubuntu2 Installed
gnome-text-editor 46.3-0ubuntu2 Installed
gnome-themes-extra:amd64 3.28-2ubuntu5 Installed
gnome-themes-extra-data 3.28-2ubuntu5 Installed
gnome-user-docs 46.0-1ubuntu1 Installed
gnupg 2.4.4-2ubuntu17.4 Installed
gnupg-l10n 2.4.4-2ubuntu17.4 Installed
gnupg-utils 2.4.4-2ubuntu17.4 Installed
google-chrome-stable 150.0.7871.46-1 Installed
gpg 2.4.4-2ubuntu17.4 Installed
gpg-agent 2.4.4-2ubuntu17.4 Installed
gpg-wks-client 2.4.4-2ubuntu17.4 Installed
gpgconf 2.4.4-2ubuntu17.4 Installed
gpgsm 2.4.4-2ubuntu17.4 Installed
gpgv 2.4.4-2ubuntu17.4 Installed
grep 3.11-4build1 Installed
grilo-plugins-0.3-base:amd64 0.3.16-1.1ubuntu6.1~24.04.1 Installed
groff-base 1.23.0-3build2 Installed
grub-common 2.12-1ubuntu7.3 Installed
grub-customizer 5.2.8-0ubuntu1~ppa1n Installed
grub-efi-amd64 2.12-1ubuntu7.3 Installed
grub-efi-amd64-bin 2.12-1ubuntu7.3 Installed
grub-efi-amd64-signed 1.202.5+2.12-1ubuntu7.3 Installed
grub2-common 2.12-1ubuntu7.3 Installed
gsettings-desktop-schemas 46.1-0ubuntu1 Installed
gsettings-ubuntu-schemas 0.0.7+21.10.20210712-0ubuntu3 Installed
gstreamer1.0-alsa:amd64 1.24.2-1ubuntu0.4 Installed
gstreamer1.0-gl:amd64 1.24.2-1ubuntu0.4 Installed
gstreamer1.0-gtk3:amd64 1.24.2-1ubuntu1.4 Installed
gstreamer1.0-libav:amd64 1.24.1-1build1 Installed
gstreamer1.0-libcamera:amd64 0.2.0-3fakesync1build6 Installed
gstreamer1.0-packagekit 1.2.8-2ubuntu1.5 Installed
gstreamer1.0-pipewire:amd64 1.0.5-1ubuntu3.2 Installed
gstreamer1.0-plugins-bad:amd64 1.24.2-1ubuntu4 Installed
gstreamer1.0-plugins-base:amd64 1.24.2-1ubuntu0.4 Installed
gstreamer1.0-plugins-base-apps 1.24.2-1ubuntu0.4 Installed
gstreamer1.0-plugins-good:amd64 1.24.2-1ubuntu1.4 Installed
gstreamer1.0-plugins-ugly:amd64 1.24.1-1build1 Installed
gstreamer1.0-tools 1.24.2-1ubuntu0.1 Installed
gstreamer1.0-vaapi:amd64 1.24.2-1 Installed
gstreamer1.0-x:amd64 1.24.2-1ubuntu0.4 Installed
gtk-update-icon-cache 3.24.41-4ubuntu1.3 Installed
gtk2-engines-murrine:amd64 0.98.2-4 Installed
gtk2-engines-pixbuf:amd64 2.24.33-4ubuntu1.1 Installed
gvfs:amd64 1.54.4-0ubuntu1~24.04.2 Installed
gvfs-backends 1.54.4-0ubuntu1~24.04.2 Installed
gvfs-common 1.54.4-0ubuntu1~24.04.2 Installed
gvfs-daemons 1.54.4-0ubuntu1~24.04.2 Installed
gvfs-fuse 1.54.4-0ubuntu1~24.04.2 Installed
gvfs-libs:amd64 1.54.4-0ubuntu1~24.04.2 Installed
gzip 1.12-1ubuntu3.2 Installed
hdparm 9.65+ds-1build1 Installed
heif-gdk-pixbuf:amd64 1.17.6-1ubuntu4.4 Installed
heif-thumbnailer 1.17.6-1ubuntu4.4 Installed
hicolor-icon-theme 0.17-2 Installed
hostname 3.23+nmu2ubuntu2 Installed
hplip 3.23.12+dfsg0-0ubuntu5.1 Installed
hplip-data 3.23.12+dfsg0-0ubuntu5.1 Installed
humanity-icon-theme 0.6.16 Installed
hunspell-en-au 1:2020.12.07-2 Installed
hunspell-en-ca 1:2020.12.07-2 Installed
hunspell-en-gb 1:24.2.1-1 Installed
hunspell-en-us 1:2020.12.07-2 Installed
hunspell-en-za 1:24.2.1-1 Installed
hunspell-fr-classical 1:7.0-1 Installed
hwdata 0.379-1 Installed
hwinfo 21.82-1.1build1 Installed
hyphen-en-ca 0.10ubuntu2 Installed
hyphen-en-gb 1:24.2.1-1 Installed
hyphen-en-us 2.8.8-7build3 Installed
i965-va-driver:amd64 2.4.1+dfsg1-1ubuntu0.2 Installed
ibus 1.5.29-2 Installed
ibus-data 1.5.29-2 Installed
ibus-gtk:amd64 1.5.29-2 Installed
ibus-gtk3:amd64 1.5.29-2 Installed
ibus-gtk4:amd64 1.5.29-2 Installed
ibus-table 1.17.4-2 Installed
ibus-table-cangjie-big 1.8.12-1 Installed
ibus-table-cangjie3 1.8.12-1 Installed
ibus-table-cangjie5 1.8.12-1 Installed
ibverbs-providers:amd64 50.0-2ubuntu0.2 Installed
ieee-data 20220827.1 Installed
iio-sensor-proxy 3.5-1build2 Installed
im-config 0.57-2 Installed
inetutils-telnet 2:2.5-3ubuntu4.2 Installed
info 7.1-3build2 Installed
init 1.66ubuntu1 Installed
init-system-helpers 1.66ubuntu1 Installed
initramfs-tools 0.142ubuntu25.8 Installed
initramfs-tools-bin 0.142ubuntu25.8 Installed
initramfs-tools-core 0.142ubuntu25.8 Installed
inputattach 1:1.8.1-2build1 Installed
install-info 7.1-3build2 Installed
intel-media-va-driver:amd64 24.1.0+dfsg1-1ubuntu0.2 Installed
intel-microcode 3.20260210.0ubuntu0.24.04.1 Installed
ipp-usb 0.9.24-0ubuntu3.3 Installed
iproute2 6.1.0-1ubuntu6.4 Installed
iptables 1.8.10-3ubuntu2 Installed
iputils-ping 3:20240117-1ubuntu0.1 Installed
iputils-tracepath 3:20240117-1ubuntu0.1 Installed
iso-codes 4.16.0-1 Installed
isympy-common 1.12-7 Installed
isympy3 1.12-7 Installed
iucode-tool 2.3.1-3build1 Installed
java-common 0.75+exp1 Installed
javascript-common 11+nmu1 Installed
jq 1.7.1-3ubuntu0.24.04.2 Installed
kbd 2.6.4-2ubuntu2 Installed
kerneloops 0.12+git20140509-6ubuntu8 Installed
keyboard-configuration 1.226ubuntu1 Installed
keyboxd 2.4.4-2ubuntu17.4 Installed
klibc-utils 2.0.13-4ubuntu0.2 Installed
kmod 31+20240202-2ubuntu7.2 Installed
krb5-locales 1.20.1-6ubuntu2.6 Installed
language-pack-en 1:24.04+20260127 Installed
language-pack-en-base 1:24.04+20260127 Installed
language-pack-gnome-en 1:24.04+20260127 Installed
language-pack-gnome-en-base 1:24.04+20260127 Installed
language-selector-common 0.225 Installed
language-selector-gnome 0.225 Installed
laptop-detect 0.16 Installed
ldap-utils 2.6.10+dfsg-0ubuntu0.24.04.1 Installed
less 590-2ubuntu2.1 Installed
liba52-0.7.4:amd64 0.7.4-20build1 Installed
libaa1:amd64 1.4p5-51.1 Installed
libaacs0:amd64 0.11.1-2build1 Installed
libabsl20220623t64:amd64 20220623.1-3.1ubuntu3.2 Installed
libabw-0.1-1:amd64 0.1.3-1build4 Installed
libaccountsservice0:amd64 23.13.9-2ubuntu6 Installed
libacl1:amd64 2.3.2-1build1.1 Installed
libadwaita-1-0:amd64 1.5.0-1ubuntu2 Installed
libaec0:amd64 1.1.2-1build1 Installed
libaio1t64:amd64 0.3.113-6build1.1 Installed
libalgorithm-diff-perl 1.201-1 Installed
libalgorithm-diff-xs-perl:amd64 0.04-8build3 Installed
libalgorithm-merge-perl 0.08-5 Installed
libao-common 1.2.2+20180113-1.1ubuntu4 Installed
libao4:amd64 1.2.2+20180113-1.1ubuntu4 Installed
libaom3:amd64 3.8.2-2ubuntu0.1 Installed
libapparmor1:amd64 4.0.1really4.0.1-0ubuntu0.24.04.7 Installed
libappstream5:amd64 1.0.2-1build6 Installed
libapt-pkg6.0t64:amd64 2.8.3 Installed
libarchive13t64:amd64 3.7.2-2ubuntu0.7 Installed
libargon2-1:amd64 0~20190702+dfsg-4build1 Installed
libaria2-0:amd64 1.37.0+debian-1build3 Installed
libasan8:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libasound2-data 1.2.11-1ubuntu0.2 Installed
libasound2t64:amd64 1.2.11-1ubuntu0.2 Installed
libaspell15:amd64 0.60.8.1-1build1 Installed
libass9:amd64 1:0.17.1-2build1 Installed
libassuan0:amd64 2.5.6-1build1 Installed
libasyncns0:amd64 0.8-6build4 Installed
libatasmart4:amd64 0.19-5build3 Installed
libatk-adaptor:amd64 2.52.0-1build1 Installed
libatk-bridge2.0-0t64:amd64 2.52.0-1build1 Installed
libatk-wrapper-java 0.40.0-3build2 Installed
libatk-wrapper-java-jni:amd64 0.40.0-3build2 Installed
libatk1.0-0t64:amd64 2.52.0-1build1 Installed
libatkmm-1.6-1v5:amd64 2.28.4-1build4 Installed
libatm1t64:amd64 1:2.5.1-5.1build1 Installed
libatomic1:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libatomic1:i386 14.2.0-4ubuntu2~24.04.1 Installed
libatopology2t64:amd64 1.2.11-1ubuntu0.2 Installed
libatspi2.0-0t64:amd64 2.52.0-1build1 Installed
libattr1:amd64 1:2.5.2-1build1.1 Installed
libaudit-common 1:3.1.2-2.1build1.1 Installed
libaudit1:amd64 1:3.1.2-2.1build1.1 Installed
libauthen-sasl-perl 2.1700-1 Installed
libavahi-client3:amd64 0.8-13ubuntu6.2 Installed
libavahi-common-data:amd64 0.8-13ubuntu6.2 Installed
libavahi-common3:amd64 0.8-13ubuntu6.2 Installed
libavahi-core7:amd64 0.8-13ubuntu6.2 Installed
libavahi-glib1:amd64 0.8-13ubuntu6.2 Installed
libavahi-ui-gtk3-0:amd64 0.8-13ubuntu6.2 Installed
libavc1394-0:amd64 0.5.4-5build3 Installed
libavcodec60:amd64 7:6.1.1-3ubuntu5 Installed
libavdevice60:amd64 7:6.1.1-3ubuntu5 Installed
libavfilter9:amd64 7:6.1.1-3ubuntu5 Installed
libavformat60:amd64 7:6.1.1-3ubuntu5 Installed
libavif16:amd64 1.0.4-1ubuntu3 Installed
libavtp0:amd64 0.2.0-1build1 Installed
libavutil58:amd64 7:6.1.1-3ubuntu5 Installed
libayatana-appindicator3-1 0.5.93-1build3 Installed
libayatana-ido3-0.4-0:amd64 0.10.1-1build2 Installed
libayatana-indicator3-7:amd64 0.9.4-1build1 Installed
libbabeltrace1:amd64 1.5.11-3build3 Installed
libbasicobjects0t64:amd64 0.6.2-2.1build1 Installed
libbdplus0:amd64 0.2.0-3build1 Installed
libbinutils:amd64 2.42-4ubuntu2.10 Installed
libblas3:amd64 3.12.0-3build1.1 Installed
libblkid1:amd64 2.39.3-9ubuntu6.5 Installed
libblockdev-crypto3:amd64 3.1.1-1ubuntu0.1 Installed
libblockdev-fs3:amd64 3.1.1-1ubuntu0.1 Installed
libblockdev-loop3:amd64 3.1.1-1ubuntu0.1 Installed
libblockdev-mdraid3:amd64 3.1.1-1ubuntu0.1 Installed
libblockdev-nvme3:amd64 3.1.1-1ubuntu0.1 Installed
libblockdev-part3:amd64 3.1.1-1ubuntu0.1 Installed
libblockdev-swap3:amd64 3.1.1-1ubuntu0.1 Installed
libblockdev-utils3:amd64 3.1.1-1ubuntu0.1 Installed
libblockdev3:amd64 3.1.1-1ubuntu0.1 Installed
libblosc1:amd64 1.21.5+ds-1build1 Installed
libblosc2-2t64:amd64 2.13.1+ds-1.1ubuntu2 Installed
